country,description,designation,points,price,province,region_1,region_2,variety,winery
US,"This widely available white is unfussy and medium bodied, with toasted oak and baked apple flavors, brightened by a squeeze of lemon.",Estate,85,18,California,Alexander Valley,Sonoma,Chardonnay,Alexander Valley Vineyards
US,"Tropical pineapple and guava flavors are restrained and balanced in this bright, soft and seductively smooth vineyard designate. Its high-toned acidity delivers stone and lemon peel characteristics, finding more citrus-tinged focus on the finish.",Ellis Alden Vineyard,92,32,California,Alexander Valley,Sonoma,Sauvignon Blanc,Judge Palmer
US,"Winemaker Nick Goldschmidt does wonders with this consistent vineyard source, coaxing out mocha-chocolate, black cherry and blackberry, never overpowering an earthy back note of tobacco. Medium-bodied and soft, it finishes in a swirl of smoke and is juicy and enjoyable now.",Lone Tree Vineyard,90,50,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Forefathers
US,"High in ripeness and intensity, this vineyard designate overpowers with astringency as it plows through a wall of blackberry jam and chocolate flavors.",Two Pear Vineyard,83,38,California,Alexander Valley,Sonoma,Zinfandel,DeLorimier
US,"This warm-climate wine is fulsome and hearty in baked Asian pear and candied ginger. A dried-fruit quality stands out on the buxom palate, a buttery taste of dried apricot drizzled in honey and brioche.",Island Block,87,26,California,Alexander Valley,Sonoma,Chardonnay,Murphy-Goode
US,"Winemaker Nick Goldschmidt does wonders with this consistent vineyard source, coaxing out mocha-chocolate, black cherry and blackberry, never overpowering an earthy back note of tobacco. Medium-bodied and soft, it finishes in a swirl of smoke and is juicy and enjoyable now.",Lone Tree Vineyard,90,50,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Forefathers
US,"This warm-climate wine is fulsome and hearty in baked Asian pear and candied ginger. A dried-fruit quality stands out on the buxom palate, a buttery taste of dried apricot drizzled in honey and brioche.",Island Block,87,26,California,Alexander Valley,Sonoma,Chardonnay,Murphy-Goode
US,"Dark in color, the wine is meaty, dry and brambly in wild strawberry. It's easy to drink and like, with a smooth, hearty finish.",Heritage Block Rosé of,87,20,California,Alexander Valley,Sonoma,Petite Sirah,Field Stone
US,"With dusty gravel at its mineral core, this Cabernet Sauvignon layers rich red currant, cassis and clove flavors, suggesting French toast drizzled with compote. It has a juicy midpalate and a lingering finish that reverberates toasted, spicy oak.",,92,62,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Aperture
US,"With dusty gravel at its mineral core, this Cabernet Sauvignon layers rich red currant, cassis and clove flavors, suggesting French toast drizzled with compote. It has a juicy midpalate and a lingering finish that reverberates toasted, spicy oak.",,92,62,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Aperture
US,"This dense, richly thick wine is full of black pepper and leather flavors that complement its bright layers of black currant, plum and dark cherry fruit. Full bodied and balanced, it offers further complexity as it unwinds in the glass.",Stuhlmuller Vineyard,91,48,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Armida
US,"Bright sparks of red currant, black cherry and cassis provide this full-bodied wine with a juicy, rounded personality. Bold tannins frame its dense layers of fruit, complemented by sultry, gamy meat and smoke accents.",Stuhlmuller Vineyard,91,54,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Francis Coppola
US,"The winery's Chards always show the attractive opulence of their warm origin. While this wine is from the difficult 2011 vintage, the wine still manages to wrest plenty of tropical fruit and peach fruit flavors. Oak provides the buttered toast and vanilla, while the acidity is mouthwatering. Drink up.",,89,42,California,Alexander Valley,Sonoma,Chardonnay,Robert Young
US,"Aged in white oak barrels from Minnesota, the winemaker's home state, this wine offers exotic honeysuckle and baked pineapple at its core, beautiful aromas that gain weight on the texture. Toasted caramel and coconut define the finish.",Minnesota Cuvée,86,26,California,Alexander Valley,Sonoma,Chardonnay,Murphy-Goode
US,"Intensely concentrated, this wine offers minerally petrol and hazelnut, particularly on the nose. A salinity marks it on the medium-bodied palate, giving it an intriguing edge before finishing in a squeeze of lemon.",Hoot Owl Creek Vineyard,87,30,California,Alexander Valley,Sonoma,Chardonnay,Hawley
US,"Slightly reduced and showing plenty of barrel imprint, this vineyard designate is bold and grippy, its soft entry marked by clove spice and cigar. The fruit is a combination of plum and dark cherry, subtly wrapped in vanilla toast.",Yoeman Vineyard,91,75,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Goldschmidt
US,"In this vintage, the winery stays true to its reputation for making balanced, more restrained Cabernet, offering firm, structured tannins and bright cassis and blackberry around a deft sprinkling of dried herb. Built to age through 2025, it is equally enjoyable now, after a decant. Small percentages of Merlot, Petit Verdot and Malbec factor in.",,90,53,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Jordan
US,"This wine was made by Bordeaux-trained winemaker Denis Malbec and his wife, sommelier May-Britt Malbec. They've sourced some exceptional fruit from the Reichel Vineyard, including some Malbec, with some Cabernet Franc also blended in. Offering big tannins that await the cellar, it is otherwise a juicy wine rich in black and blue berry fruit, as well as a taste of graham cracker and cigar. Enjoy through 2025.",Indulgence Reichel Vineyard,90,75,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Respite
US,"Grassy stone fruit and lime zest paint a pretty picture in this full-bodied white, which retains enough acidity to stay refreshing and bright on the palate. Floral tinges of tangerine blossom and lemongrass finish things out.",,89,28,California,Alexander Valley,Sonoma,Sauvignon Blanc,Mazzocco
US,"A 100% varietal wine, this is both soft and dense, herbal and restrained in cranberry and red currant. Dry and dusty, the body is medium to full bodied, and the finish medium-long. Enjoy now.",,87,35,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Arbios
US,"Structured from the start, this wine provides succulent boysenberry and blackberry around a full-figured body that's otherwise steeped in vanilla and coffee, the toasted oak quite prevalent. It finishes slightly tart in dried herb and mushroom.",Reserve,87,40,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Rodney Strong
US,"A project of Marc Mondavi, this wine is a blend of mostly Cabernet Sauvignon, rounded out by tiny percentages of Petit Verdot, Cabernet Franc, Malbec and Merlot. Juicy in dark cherry and blackberry fruit, it is well composed, with a smoky undercurrent.",,90,18,California,Alexander Valley,Sonoma,Cabernet Sauvignon,The Divining Rod
US,"Fermented in stainless steel, this medium-bodied wine is supple in nutty pear and fig, as well as viscous in honey. Serve chilled with chicken-lemongrass banh mi.",,86,24,California,Alexander Valley,Sonoma,Viognier,Wattle Creek
US,"The bringing-together of 60% Cabernet Sauvignon, 30% Merlot and 10% Sangiovese is rough, coming off as dry, smoky and a tad odd on the palate, the fruit hidden from sight.",Convivio,82,15,California,Alexander Valley,Sonoma,Red Blend,Field Stone
US,"Blue-black in color, this wine is dense in leather and grippy oak, a coming together texturally and on the palate in baked plum and blackberry. Full bodied, the wine settles in the glass to offer breadth and depth.",Estate Grown,88,36,California,Alexander Valley,Sonoma,Syrah,Reynoso
US,"In this gold-colored wine, green-apple skin and nutmeg-ginger spice wrap around a full-bodied build, with a preponderance of ripe peach within its makeup too. Decadent, and nutty from the oak, it brings a fulsomeness of crème brûlée to the finish.",Barrel Fermented,88,29,California,Alexander Valley,Sonoma,Chardonnay,Eco Terreno
US,"Wild strawberry and a soft layering of fresh earth form the core of this blend, based mostly on Cabernet Sauvignon, with a healthy dose of Merlot and then smaller supporting handfuls of Cabernet Franc, Malbec and Petit Verdot. Blackberries come to fore as the wine develops, along with a swathe of bittersweet chocolate.",Symmetry,86,55,California,Alexander Valley,Sonoma,Meritage,Rodney Strong
US,"Dry and tannic, this 100% Cab has flavors of herbs, blackberries and tea. It's a tough wine not showing generosity now. You can age for a couple years, but the tannins will outlast the fruit.",Reserve,87,45,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Rodney Strong
US,"This wine spent time in French, American and Hungarian oak, 25% of it new. It offers a classically herbal expression of the variety, exhibiting notes of black olive and leather over fruity tones. Tight and grippy, it needs to open over time to let the aromas catch up on the palate.",,86,17,California,Alexander Valley,Sonoma,Merlot,Chelsea Goldschmidt
US,"Made from mostly Merlot grapes that went direct-to-press to preserve color and tannin, this is a dark, pink and nutty wine, full-bodied and somewhat intense. While dry, the fruit leans toward the tangy end of the spectrum. It's food friendly and thirst quenching.",Bell Mountain Estate,87,27,California,Alexander Valley,Sonoma,Rosé,Medlock Ames
US,"This is 90% Cabernet Sauvignon and 10% Merlot, aged in American oak, half of it new. Inviting in spicy pepper and violet perfume, the medium body is awash in black cherry and berry, with a layer of subtle smoke popping in along the long finish.",,88,39,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Dewitt
US,"This is a juicy Sangiovese, rustic and savory in cherry and plum with soft tannins and an underbelly of garden herbs. Easy to quaff, it's an ideal pizza wine.",Lucio's Block,88,27,California,Alexander Valley,Sonoma,Sangiovese,Field Stone
US,"Intriguing in tobacco and a sense of the forest, especially pine, this soft, chewy, fuller wine finishes quickly in black pepper.",Pigoni Ranch,87,38,California,Alexander Valley,Sonoma,Syrah,Manzanita Creek
US,"This 100% Merlot has elevated qualities of complexity. It's dry and quite tannic, with raspberry, cherry, licorice, herb and sandalwood flavors that finish with a rich spiciness. Drink now–2016.",,87,27,California,Alexander Valley,Sonoma,Merlot,Pech Merle
US,"There's a high-toned quality to this Cabernet, juicy and yet restrained in red cherry and dried cranberry, just a suggestion of cedar and dried herb lurking in the background. Oaky and grippy toward the finish, the approachable flavors are laced with vanilla.",Reserve,88,30,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Rock View
US,"Flinty and austere, this is an elegant white wine crafted from 100% Musque clone, dancing in pear and grapefruit. The layered texture impressively stands out, riding the wave between creamy and lemony crisp with precision, opening the door for the wine to finish refreshingly.",Samantha's,92,30,California,Alexander Valley,Sonoma,Sauvignon Blanc,Lancaster
US,This affordable wine offers tangy oak and tannin along with vibrant red fruit. Leather and juicy black plum add to its soft layers of flavor.,Wetzel Family Estate Grown and Bottled,91,20,California,Alexander Valley,Sonoma,Syrah,Alexander Valley Vineyards
US,"This 100% Cabernet Sauvignon is aged 43 months in new French oak. The oak is indeed dominant here, enveloping more subdued layers of savory leather, dark berry and cassis. Firm, substantial tannins hit on the back of the throat and coat the palate all the way through the long finish.",Yoeman Vineyard Plus,88,150,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Goldschmidt
US,Spiky hits of leather and black pepper accent a medium-bodied wine with a softness on the palate that's pleasantly easygoing. Dried herb and cedar mark the finish.,Estate,87,34,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Reynoso
US,"Blended from all five classic Bordeaux varieties, based on Cabernet Sauvignon, this wine suffered from the cold vintage. The wine is tannic and acidic, and the cherry and currant flavors are modest. The winery did its best to install elegance, and succeeded, but it's a wine to air and drink now.",Symmetry Red,86,60,California,Alexander Valley,Sonoma,Meritage,Rodney Strong
US,"This shows the fleshiness of Merlot. But it's also enormously tannic, with a mouth-numbing astringency, and the finish is severely dry. With black cherry and herb flavors, it wants an hour or two in the decanter, but it's not an ager.",,86,27,California,Alexander Valley,Sonoma,Merlot,Pech Merle
US,"This is a skin-contact wine, fermented on skins for a week, that displays the technique in its dark golden color. From there, it's ripe in a sweetness of baked pear, honey and dried apricot, while lean on the palate despite the fleshy nature of the fruit.",Ellis Alden Vineyard,86,35,California,Alexander Valley,Sonoma,Sauvignon Blanc,Judge Palmer
US,"This is a 100% varietal wine, aged for 32 months, with one-quarter of the barrels being new oak. Grippy in red currant and cranberry, it has a thickness of tannin and slightly bittersweet, tobacco-like finish.",Warnecke Ranch,86,47,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Sutro
US,"Strong, caramelized oak stars in this dry, rather one-dimensional Cabernet. Despite some black currant, anise and mocha flavors, it's like drinking toothpicks.",Winemaker's Reserve,84,40,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Souverain
US,"There's a bland greenness to this wine that delves into waxy blackberry and plum, but ultimately remains flat on the palate.",,83,26,California,Alexander Valley,Sonoma,Merlot,Sebastiani
US,"One of the most pleasurable Clos du Bois Cabernets in years, this is easy to enjoy now for its flavors of cherries, currants, tobacco, spices and smoky oak.",Sonoma Reserve,87,22,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Clos du Bois
US,"This tastes like melted milk chocolate and blackberry jam spread on buttered cinnamon toast, drizzled with some anisette liqueur and sprinkled with black pepper. It's lusty, robust, high in alcohol and sweet, and it will pair well with barbecue.",Estate Bottled,87,25,California,Alexander Valley,Sonoma,Zinfandel,La Storia
US,"This is a seriously good Cabernet. You can stand it against anything in California and it will acquit itself with pride. It shows the soft tannins and herbaceousness of Alexander Valley, but is rich in blackberries, cherries and mocha, with a long, spicy finish. The result is a deliciously complex wine, dry, full-bodied and rich. Drink now–2016.",Mavericks Goosechase Vineyard,92,65,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Longboard
US,"This wine is a blend of 75% Cabernet Sauvignon and 25% Malbec. It shows the big, hard tannins of both varieties, as well as their dryness and intense blackberry, currant and dark chocolate flavors. The 100% new French oak is in balance with the size of the underlying fruit. Don't even think of popping the cork before 2015, and it should still be providing pleasure in 2021.",Nicole's,92,115,California,Alexander Valley,Sonoma,Bordeaux-style Red Blend,Lancaster
US,"Seghesio's Home Ranch Zin is dependably ripe and blended with a little Petite Sirah for structure. The palate is soft and rather sweet with flavors of black cherry and raspberry, along with hints of mocha, bacon and toasty oak. It should hold for many years but is unlikely to gain complexity so drink now–2014.",Home Ranch,92,58,California,Alexander Valley,Sonoma,Zinfandel,Seghesio
US,"This polished young wine shows the softness and slight herbaceousness that mark many Alexander Valley Cabernets. With ripe blackberry, cherry pie, red currant and mocha flavors, it's a fine wine to drink now and over the next 4–5 years.",Estate Grown,87,30,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Reynoso
US,"Exuberant in red fruit, this is a softly textured Zinfandel, high in acidity with evolved tannins. Layered, complex and food-friendly, the imprint of red berry and brambly blackberry juiciness is joined by swirls of nuanced vanilla and a touch of oak. There's a sprinkling of black pepper on the palate, too.",Nance's Vineyard,90,29,California,Alexander Valley,Sonoma,Zinfandel,Ousterhout
US,"Very ripe and extracted, this has flavors of blackberries and cherries that are a bit heavy-handed. There's a lot of oak influence, too, which adds to the heaviness.",Marlstone,86,50,California,Alexander Valley,Sonoma,Bordeaux-style Red Blend,Clos du Bois
US,"The line between tart gooseberries and that strong ammonia smell is a thin one. This Sauvignon Blanc steps just over the edge. The price is fine, and the wine is dry and crisp in citrus fruit flavors, but it is a little too green.",,84,14,California,Alexander Valley,Sonoma,Sauvignon Blanc,Souverain
US,"Here's a very rich, elaborate wine that defines the modern, ripe style of Zinfandel. You certainly can't complain about the fruit, which is massive in red and black berry and stone fruit flavors, sprinkled with black pepper, cinnamon and star anise. It's a little hot and sweet in alcohol, but then again, this is an Alexander Valley Zin.",Estate,90,28,California,Alexander Valley,Sonoma,Zinfandel,Stuhlmuller Vineyards
US,"Softer and lighter than the winery's Cabernet Sauvignon, this wine's fruit veers toward red fruits and berries. It shows the herbaceous quality that often marks the winery's red wines. Drink now.",Wetzel Family Estate,87,24,California,Alexander Valley,Sonoma,Cabernet Franc,Alexander Valley Vineyards
US,"Rich and easy, this has jammy raspberry, cherry, milk chocolate, anise and sandalwood flavors. Earns extra points for the velvety texture and smooth, spicy finish.",Cooney Vineyard,86,25,California,Alexander Valley,Sonoma,Merlot,Huntington
US,"Good price for this smooth Merlot. It's very frontal in flavor, with a taste of chocolate-covered cherry candy, but it's dry, with a lingering finish.",,87,15,California,Alexander Valley,Sonoma,Merlot,Chelsea Goldschmidt
US,"So smooth and lush, it's hard to keep from drinking the whole bottle. Shows wonderfully smooth, sweet blackberries, cherries and raspberries, balanced with supple tannins and fine acidity. Should hold well over the next six years.",Bear Point,90,60,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Stonestreet
US,"Lots of delicious charm in this soft, slightly sweet Pinot Noir. Brims with raspberry, cherry, cola, vanilla, cinnamon and spice flavors that are balanced with a crisp edge of acidity. Drink now.",Wetzel Family Estate,87,27,California,Alexander Valley,Sonoma,Pinot Noir,Alexander Valley Vineyards
US,"So ripe in fruit, it's almost sweet, with jammy flavors of blackberries, black cherries, blueberries, milk chocolate and sandalwood. But it's rich in tannins, which helps to provide balance, and could develop complexity over the next six years. From Trentadue.",Estate,87,20,California,Alexander Valley,Sonoma,Petite Sirah,La Storia
US,"Made in the simple modern style of lots of caramelized oak and sweet fruit, with no particular subtlety. Shows powerful tangerine, pineapple, apple and honey flavors.",,85,30,California,Alexander Valley,Sonoma,Chardonnay,Terra Sonoma
US,"Simple and direct, this tastes like blend of apricots, pears and mangos, with a gentle oak touch. It has pleasant acidity and nice warmth from the alcohol. Drink now.",Costello Vineyard,85,18,California,Alexander Valley,Sonoma,Chardonnay,Huntington
US,"Youthful tannins and ageability always characterize this Cab, which contains a splash of Syrah. Like its predecessors, it's very dry, with herb-infused cherry and currant flavors, and new oak plays only a supporting role. It's really an elegant wine and a great value at this price.",Block Collection Walking Tree,91,25,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Geyser Peak
US,"Tannic and jammy now, showing ripe, freshly crushed blackberry, cherry and blueberry flavors liberally accented with smoky oak. A bit direct and obvious, but the tannins are thick, and the wine could age.",Estate,87,50,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Stryker Sonoma
US,"So rich, deeply flavored and heady, it's almost like a dessert Port, although it's dry, not sweet. The blackberry and cherry flavors taste like they were baked into cookies. As you'd expect from a Petite Sirah, the tannins are thick, but nothing you can't drink now with barbecue.",La Storia,88,50,California,Alexander Valley,Sonoma,Petite Sirah,Trentadue
US,"From vineyards quite high up in the eastern mountains, this wine is from stressed, low-yielding grapes. The blackberry and cassis flavors are concentrated and dense, and the tannins are tough and firm. Oak plays a supporting role. Rich foods, such as lamb or gongonzola cheese, will soften and sweeten it, but you're best off cellaring for a few years.",Alden Vineyards,91,30,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Rodney Strong
US,"The best Alexander Valley Chardonnays, such as this, show flamboyant tropical flavors. Capture's '09 shows ripe, extravagant pineapple, mango, papaya, nectarine and lime fruit, with a grilled quality baked into a pastry dessert. It's a big wine framed by fine acidity. The oak appliqué is just about perfect.",Ma Vie Carol,92,42,California,Alexander Valley,Sonoma,Chardonnay,Capture
US,"Shows the softness of Alexander Valley Chardonnay, and the delicious complexity that these wines can attain. Apricots, pineapples, peaches and Meyer lemons are the fruits, framed by vanilla and smoke from new oak, and finishing with a minerality that must come from the earth.",,90,26,California,Alexander Valley,Sonoma,Chardonnay,Summers
US,"Tart and crisp, with refreshing acidity and grassy, gooseberry flavors. Barrel fermentation adds creamy, yeasty notes. Elegant finish.",,87,16,California,Alexander Valley,Sonoma,Sauvignon Blanc,Elaine Maria
US,"Luscious, long, full-bodied and rich, a wonderful wine that showcases its appellation. Has well-ripened flavors of blackcurrants and cassis that drink long and deep, although there's some hollowness, which costs it a few points. The flavors are wrapped in soft, easy but complex tannins. Fully dry and nicely oaked, this wine is immediately enjoyable.",Winemaker's Reserve,90,35,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Château Souverain
US,"Sweet stuff, with flavors of butterscotch, vanilla and custard. The basic fruit flavors are peaches and pears. No problem getting the grapes superripe in this warm California region. Nice on its own as a sipper, or good with barbecued scallops in a rich butter sauce.",Wetzel Family Estate Reserve,87,25,California,Alexander Valley,Sonoma,Chardonnay,Alexander Valley Vineyards
US,"Rich and thoroughly enjoyable, brimming with blackcurrant and cassis flavors and a balanced overlay of smoky, spicy oak. This pretty wine drinks very dry and smooth, and the tannins are just right. It is elegant from start to finish. Drink now.",Alexander's Crown,90,28,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Rodney Strong
US,"A challenging wine, made all the more so because there's a beautiful entry and the wine has truly delicious aspects. It's softly complex and beguiling, with cherry custard, vanilla and smoky oak flavors, and shows real finesse. On the other hand, the short finish suggests it's not going anywhere, so drink up.",Estate,89,65,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Lancaster
US,A lively blend of citrus and baked-apple flavors that are clean and spicy on the finish.  Simple and fresh.,Dry,85,9,California,Alexander Valley,Sonoma,Chenin Blanc,Alexander Valley Vineyards
US,"There are some exquisite flavors in this Cab Franc: cassis, cherries, raspberries, cocoa, smoky oak and a rich array of dusty crushed brown spices. The wine is fully dry, with finely meshed tannins, but the main quibble is that it's too soft to be completely balanced.",,88,48,California,Alexander Valley,Sonoma,Cabernet Franc,Ledson
US,"This long-anticipated wine from a longtime grower-turned-vintner swings for the fences. Begins with fascinating, complex aromas—highlighted by lees, pineapple, cinnamon, smoke and white chocolate—and dazzles with its sheer opulence. Everything comes together in pinpointed harmony, right down to the mind-bogglingly beautiful finish.",,96,35,California,Alexander Valley,Sonoma,Chardonnay,Robert Young
US,"This is a wine that aims for lean elegance. It shows a balance of cherry, herb and leather flavors, and is pretty tannic. Drink now.",,85,19,California,Alexander Valley,Sonoma,Merlot,Elaine Maria
US,"Light in flavor, this friendly, everyday Chard shows modest peach, spice and oak flavors and a creamy texture.",,84,19,California,Alexander Valley,Sonoma,Chardonnay,Geyser Peak
US,"Reserve Alexandre is always a really nice, interesting wine, but with recent price increases, consumers should be wary. The '04 shows classic Alexander Valley softness and herbs, along with cherries, blackberries and oak, and it's an elegantly balanced wine. But it doesn't seem to be an ager, as it's a little thin on the finish, so drink now.",Reserve Alexandre Meritage,87,56,California,Alexander Valley,Sonoma,Bordeaux-style Red Blend,Geyser Peak
US,"This isn't a very complex Merlot, but it is textbook if you're looking for soft fruitiness. It has oak-influenced cherry and blackberry flavors, with hints of violets and fruit tea, and is dry and dusty in tannins. Give it more concentration and it would be a star.",,87,19,California,Alexander Valley,Sonoma,Merlot,Geyser Peak
US,"Sebastiani knows how to make good Cabernet. It's wired into their hard drive, and with this lovely '07, they've again succeeded. The wine is dry, elegant and drinkable now with upscale fare. It shows the herbal quality of Alexander Valley Cabs, with a sage note to the blackberries, cherries and sweet tobacco.",,90,30,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Sebastiani
US,"A simple, kind of rough and earthy Cab, thin in fruit, which accentuates the tannins. It's dry and spicy on the finish.",,83,16,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Mia's Playground
US,"After struggling with this vineyard for a number of years, Joe Benziger seems to have gotten a handle on this finicky mountain fruit. Even in this so-so vintage, the wine is complex and pleasurable, although tannic. Hold until 2008.",Vineyard Collection Ash Creek Vineyard,92,35,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Imagery
US,"The alcohol is nice and modest on this dry wine, and it has a pleasantly soft feeling as you sip it. Then there are the cherry and herb flavors that are complex and appealing. It's a lovely wine to drink now.",Wetzel Family Estate,88,21,California,Alexander Valley,Sonoma,Cabernet Franc,Alexander Valley Vineyards
US,"A soft, herbal Cabernet, with sage, dill, tobacco, black cherry and mulberry flavors. It's very dry, and has a certain elegance.",Diamond Dust Vineyard,87,20,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Trig Point
US,"Made from mountain grapes, this is an extraordinarily rich, concentrated young Cabernet Sauvignon. It's marked by classic varietal flavors of blackberries, black currants, dark chocolate and cassis liqueur. A minor quibble is that it's too soft and melted for further development, but it scores high on the deliciousness scale.",Prevail Back Forty,92,85,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Ferrari-Carano
US,"Just delicious, offering sweetly ripe blackberry, blueberry and cassis flavors, with a rich coating of smoky oak. The all-important tannins are soft and gentle. Really a flamboyant, opulent wine, and probably showing its best in youth.",Reserve,92,42,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Ferrari-Carano
US,"The 2009 vintage was successful for Sausal's three new Zinfandels, and this intense, concentrated bottling shows how the cool weather managed to ripen the grapes, yet keep alcohol levels moderate. It's a big, powerful wine, packed with wild berry, cola, licorice, spice and sandalwood flavors that have a tang of the earth.",Century Vines,92,40,California,Alexander Valley,Sonoma,Zinfandel,Sausal
US,"Sausal has some of the oldest vines in Sonoma County, and despite ripe raspberry, blackberry, cola and chocolate flavors, this wine has a taste of the earth that must come from the vine roots reaching deep into the soil. It's a lovely, gentle Zinfandel for drinking now.",Private Reserve,90,24,California,Alexander Valley,Sonoma,Zinfandel,Sausal
US,"This lush, smooth and supple Cabernet is drinkable now for its rich array of red berry fruit, briary spice, red licorice, blond tobacco and sandalwood flavors. It shows the softness of Alexander Valley Cabernet, but make no mistake, the balance enables it to age 6–8 years.",Special Reserve,90,38,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Herzog
US,"It's classic Alexander Valley, soft, rich and thick in melted tannins, and elaborate in tiers of briary wild berries, milk chocolate, black pepper and sweet charred oak. Easy to drink with everything from burgers and steaks to tacos and teriaki beef.",Family,90,19,California,Alexander Valley,Sonoma,Zinfandel,Sausal
US,"Barely acceptable. Dry, harsh and vegetal.",Discovery,80,11,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Q
US,"Made from Cabernet Sauvignon and Syrah, this interesting blend seems ready to drink now. It's soft and smooth in the mouth, with opulently ripe flavors of blackberries, chocolate, bacon, sweet oak, pepper and a touch of funk.",Prevail West Face,89,55,California,Alexander Valley,Sonoma,Red Blend,Ferrari-Carano
